"HouseholdBookID","Address","IssueDate","Status"
"000000000","Số 1 tổ dân phố 7 phường La Khê","2009-04-18","valid"
"000000001","Số 2 tổ dân phố 7 phường La Khê","1980-01-16","temporary"
"000000002","Số 3 tổ dân phố 7 phường La Khê","1988-10-10","valid"
"000000003","Số 4 tổ dân phố 7 phường La Khê","1987-12-26","valid"
"000000004","Số 5 tổ dân phố 7 phường La Khê","2023-11-26","temporary"
"000000005","Số 6 tổ dân phố 7 phường La Khê","2017-09-30","temporary"
"000000006","Số 7 tổ dân phố 7 phường La Khê","1995-11-09","valid"
"000000007","Số 8 tổ dân phố 7 phường La Khê","2023-04-11","valid"
"000000008","Số 9 tổ dân phố 7 phường La Khê","2012-11-17","valid"
"000000009","Số 10 tổ dân phố 7 phường La Khê","2017-12-05","temporary"
"000000010","Số 11 tổ dân phố 7 phường La Khê","2022-05-06","valid"
"000000011","Số 12 tổ dân phố 7 phường La Khê","1989-08-15","temporary"
"000000012","Số 13 tổ dân phố 7 phường La Khê","1988-07-04","temporary"
"000000013","Số 14 tổ dân phố 7 phường La Khê","2019-11-13","valid"
"000000014","Số 15 tổ dân phố 7 phường La Khê","2002-04-03","valid"
"000000015","Số 16 tổ dân phố 7 phường La Khê","1979-05-08","valid"
"000000016","Số 17 tổ dân phố 7 phường La Khê","2023-05-13","temporary"
"000000017","Số 18 tổ dân phố 7 phường La Khê","2002-10-01","valid"
"000000018","Số 19 tổ dân phố 7 phường La Khê","1976-05-13","valid"
"000000019","Số 20 tổ dân phố 7 phường La Khê","2014-01-26","valid"
"000000020","Số 21 tổ dân phố 7 phường La Khê","2004-05-18","temporary"
"000000021","Số 22 tổ dân phố 7 phường La Khê","1992-03-31","temporary"
"000000022","Số 23 tổ dân phố 7 phường La Khê","1994-07-31","valid"
"000000023","Số 24 tổ dân phố 7 phường La Khê","2017-01-20","valid"
"000000024","Số 25 tổ dân phố 7 phường La Khê","2014-07-01","valid"
"000000025","Số 26 tổ dân phố 7 phường La Khê","2016-06-24","temporary"
"000000026","Số 27 tổ dân phố 7 phường La Khê","1988-12-01","valid"
"000000027","Số 28 tổ dân phố 7 phường La Khê","1999-06-06","valid"
"000000028","Số 29 tổ dân phố 7 phường La Khê","2004-05-22","valid"
"000000029","Số 30 tổ dân phố 7 phường La Khê","1991-02-02","valid"
"000000030","Số 31 tổ dân phố 7 phường La Khê","2019-02-12","valid"
"000000031","Số 32 tổ dân phố 7 phường La Khê","2022-07-21","valid"
"000000032","Số 33 tổ dân phố 7 phường La Khê","2015-07-12","valid"
"000000033","Số 34 tổ dân phố 7 phường La Khê","2005-05-12","valid"
"000000034","Số 35 tổ dân phố 7 phường La Khê","2004-12-26","temporary"
"000000035","Số 36 tổ dân phố 7 phường La Khê","2012-06-25","temporary"
"000000036","Số 37 tổ dân phố 7 phường La Khê","1988-10-29","temporary"
"000000037","Số 38 tổ dân phố 7 phường La Khê","2024-09-06","temporary"
"000000038","Số 39 tổ dân phố 7 phường La Khê","1985-08-28","valid"
"000000039","Số 40 tổ dân phố 7 phường La Khê","1993-04-05","temporary"
"000000040","Số 41 tổ dân phố 7 phường La Khê","2001-01-12","temporary"
"000000041","Số 42 tổ dân phố 7 phường La Khê","1976-03-22","valid"
"000000042","Số 43 tổ dân phố 7 phường La Khê","2008-08-21","valid"
"000000043","Số 44 tổ dân phố 7 phường La Khê","2008-01-10","temporary"
"000000044","Số 45 tổ dân phố 7 phường La Khê","2019-11-14","temporary"
"000000045","Số 46 tổ dân phố 7 phường La Khê","1975-08-31","valid"
"000000046","Số 47 tổ dân phố 7 phường La Khê","2019-10-10","temporary"
"000000047","Số 48 tổ dân phố 7 phường La Khê","2001-09-29","valid"
"000000048","Số 49 tổ dân phố 7 phường La Khê","1980-01-31","temporary"
"000000049","Số 50 tổ dân phố 7 phường La Khê","1987-12-18","valid"
"000000050","Số 51 tổ dân phố 7 phường La Khê","1987-09-05","temporary"
"000000051","Số 52 tổ dân phố 7 phường La Khê","2002-01-18","valid"
"000000052","Số 53 tổ dân phố 7 phường La Khê","2008-02-27","temporary"
