"ResidentID","HouseholdBookID","IDIssueDate","IDIssuePlace","FullName","Alias","DateOfBirth","PlaceOfBirth","Hometown","Ethnicity","Occupation","Workplace","PermanentRegistrationDate","PermanentResidentAddress","IsDead"
"00000000000","000000000","2022-08-04","Cục cảnh sát quản lý về trật tự xã hội","Thắm Chas",,"1974-06-13","TP Đà Nẵng","Sơn La","Tày",,,"2021-05-11","Số 1 tổ dân phố 7 phường La Khê","false"
"00000000001","000000000","2022-01-08","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Siu",,"1974-09-24","Hưng Yên","TP Hải Phòng","Kinh",,,"2023-11-24","Số 1 tổ dân phố 7 phường La Khê","false"
"00000000002","000000000","2023-08-28","Cục cảnh sát quản lý về trật tự xã hội","Thắm Lâm",,"1996-11-08","Hà Nội","Hà Nội","Tày",,,"2024-05-15","Số 1 tổ dân phố 7 phường La Khê","false"
"00000000003","000000001","2022-03-04","Cục cảnh sát quản lý về trật tự xã hội","Mai Khang Như Thanh",,"1966-10-24","Điện Biên","Hòa Bình","Kinh",,,"1988-12-03","Suite 778 31018 Phong Parkway, Bắc Giang, MS 2U8H  3ZB","false"
"00000000004","000000002","2022-05-29","Cục cảnh sát quản lý về trật tự xã hội","Sinh Mauricio",,"1955-06-25","Cà Mau","Tây Ninh","Khmer",,,"2007-06-08","Số 3 tổ dân phố 7 phường La Khê","false"
"00000000005","000000002","2022-02-20","Cục cảnh sát quản lý về trật tự xã hội","Đoàn Daphine",,"1955-06-30","Bắc Ninh","Quảng Nam","Mường",,,"2020-06-09","Số 3 tổ dân phố 7 phường La Khê","false"
"00000000006","000000002","2022-01-01","Cục cảnh sát quản lý về trật tự xã hội","Sinh Trần",,"1975-08-19","Hà Nội","Hà Nội","Khmer",,,"2023-03-06","Số 3 tổ dân phố 7 phường La Khê","false"
"00000000007","000000003","2022-03-12","Cục cảnh sát quản lý về trật tự xã hội","Vương Carrol",,"1987-02-01","Quảng Trị","Hà Giang","Hoa",,,"2017-03-09","Số 4 tổ dân phố 7 phường La Khê","false"
"00000000008","000000003","2024-08-27","Cục cảnh sát quản lý về trật tự xã hội","Vương Phùng",,"2010-06-01","Hà Nội","Hà Nội","Hoa",,,"2020-07-08","Số 4 tổ dân phố 7 phường La Khê","false"
"00000000009","000000004","2023-06-02","Cục cảnh sát quản lý về trật tự xã hội","Phạm Phong Trinh Đỗ",,"1978-07-16","Bắc Giang","Kon Tum","H'Mông",,,"1982-10-05","Apt. 613 420 Trương Coves, Quảng Ninh, MT 9P0  6NE","false"
"00000000010","000000005","2024-03-26","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Văn",,"1999-04-14","Vĩnh Phúc","Quảng Bình","Nùng",,,"2009-07-04","3727 Ngô Union, TP Đà Nẵng, SD WARV 3ZT","false"
